ts_event,close_AAPL,close_AMZN,close_MSFT,close_META,close_GOOGL,close_NVDA,close_SPY,close_GM
2021-07-20 20:00:00,146110000000,3571070000000,279350000000,14490000000,2524000000000,186840000000,431500000000,56140000000
2021-07-20 21:00:00,146100000000,3572600000000,279470000000,14490000000,2523500000000,186850000000,431400000000,56100000000
2021-07-21 08:00:00,146400000000,3580200000000,279820000000,14560000000,2533000000000,187950000000,433080000000,56530000000
2021-07-21 09:00:00,146170000000,3579400000000,279770000000,14560000000,2534000000000,187900000000,432970000000,56580000000
2021-07-21 10:00:00,146010000000,3576990000000,279900000000,14560000000,2531790000000,187430000000,432620000000,56660000000
2021-07-21 11:00:00,145740000000,3564310000000,278500000000,14490000000,2518010000000,186400000000,431330000000,56430000000
2021-07-21 12:00:00,146020000000,3570000000000,278840000000,14480000000,2522000000000,187420000000,431930000000,56780000000
2021-07-21 13:00:00,145280000000,3567490000000,279950000000,14570000000,2538370000000,193610000000,433660000000,57170000000
2021-07-21 14:00:00,145710000000,3567000000000,280660000000,14560000000,2532930000000,192830000000,433430000000,56600000000
2021-07-21 15:00:00,145430000000,3564010000000,280640000000,14600000000,2534535000000,193390000000,434010000000,56850000000
2021-07-21 16:00:00,145030000000,3549090000000,279800000000,14600000000,2534580000000,190850000000,433455000000,56930000000
2021-07-21 17:00:00,145275000000,3561960000000,280410000000,14610000000,2537300000000,191970000000,433910000000,57040000000
2021-07-21 18:00:00,145440000000,3563290000000,280350000000,14625000000,2541910000000,192090000000,434170000000,56895000000
2021-07-21 19:00:00,145390000000,3586350000000,281390000000,14670000000,2550990000000,194160000000,434560000000,57060000000
2021-07-21 20:00:00,145390000000,3585060000000,281400000000,14680000000,2552490000000,194480000000,435000000000,57050000000
2021-07-21 21:00:00,145360000000,3589250000000,281550000000,14800000000,2552730000000,194300000000,434950000000,57100000000
2021-07-22 08:00:00,145650000000,3596810000000,282570000000,14710000000,2561950000000,195500000000,435210000000,57000000000
2021-07-22 09:00:00,145700000000,3595000000000,282860000000,14740000000,2558390000000,195930000000,435360000000,56870000000
2021-07-22 10:00:00,145680000000,3590210000000,282450000000,14850000000,2560790000000,195550000000,435510000000,56870000000
2021-07-22 11:00:00,145710000000,3589000000000,283910000000,14820000000,2557600000000,196410000000,435160000000,56600000000
2021-07-22 12:00:00,146120000000,3590000000000,283720000000,14760000000,2553230000000,195690000000,434320000000,56060000000
2021-07-22 13:00:00,146830000000,3615670000000,285240000000,14700000000,2560860000000,195640000000,434390000000,56030000000
2021-07-22 14:00:00,147735000000,3621520000000,285920000000,14690000000,2564050000000,194430000000,435035000000,55870000000
2021-07-22 15:00:00,147340000000,3620940000000,285390000000,14710000000,2560920000000,194680000000,434505000000,55690000000
2021-07-22 16:00:00,147210000000,3618130000000,284890000000,14650000000,2557920000000,194320000000,434810000000,55715000000
2021-07-22 17:00:00,147230000000,3630990000000,284970000000,14660000000,2565910000000,194160000000,435220000000,55800000000
2021-07-22 18:00:00,147130000000,3629990000000,286180000000,14680000000,2564480000000,195320000000,435670000000,55750000000
2021-07-22 19:00:00,146800000000,3638700000000,286160000000,14720000000,2568430000000,195950000000,435500000000,55630000000
2021-07-22 20:00:00,147050000000,3648400000000,286900000000,14890000000,2593510000000,195870000000,436600000000,55690000000
2021-07-22 21:00:00,147150000000,3645440000000,287360000000,14890000000,2592800000000,195800000000,436600000000,55750000000
2021-07-23 08:00:00,147640000000,3653050000000,287840000000,14720000000,2598170000000,196600000000,437260000000,55730000000
2021-07-23 09:00:00,147610000000,3653000000000,288090000000,14720000000,2602270000000,197430000000,437490000000,55950000000
2021-07-23 10:00:00,147540000000,3651000000000,288300000000,14880000000,2603820000000,197800000000,437580000000,55770000000
2021-07-23 11:00:00,147510000000,3650850000000,287910000000,14870000000,2608980000000,196810000000,437380000000,55800000000
2021-07-23 12:00:00,147200000000,3646670000000,287360000000,14840000000,2607500000000,196980000000,437330000000,55900000000
2021-07-23 13:00:00,147690000000,3640980000000,287990000000,14740000000,2605360000000,194260000000,436950000000,55200000000
2021-07-23 14:00:00,147860000000,3650535000000,288430000000,14720000000,2631400000000,193030000000,438290000000,55480000000
2021-07-23 15:00:00,148100000000,3647530000000,289270000000,14750000000,2635510000000,194880000000,438730000000,55250000000
2021-07-23 16:00:00,148140000000,3654970000000,289000000000,14760000000,2650090000000,194380000000,439360000000,55130000000
2021-07-23 17:00:00,148415000000,3661710000000,289320000000,14790000000,2661000000000,194620000000,439770000000,55095000000
2021-07-23 18:00:00,148440000000,3657920000000,289320000000,14770000000,2661200000000,194890000000,439740000000,55230000000
2021-07-23 19:00:00,148570000000,3656640000000,289710000000,14800000000,2660840000000,195530000000,439900000000,54950000000
2021-07-23 20:00:00,148300000000,3655950000000,289510000000,14920000000,2659250000000,195250000000,439440000000,54840000000
2021-07-26 08:00:00,147600000000,3650710000000,289870000000,14760000000,2652000000000,192880000000,438000000000,54220000000
