Window,layers,hidden,dropout,lr,mse,batch_size
10.0,3.0,64.0,0.0,0.01,5.572491930184349e+18,16.0
10.0,3.0,64.0,0.1,0.05,2.5888313965510263e+19,16.0
10.0,3.0,64.0,0.1,0.01,7.928232016561061e+18,16.0
10.0,3.0,128.0,0.0,0.05,6.72139082726551e+20,16.0
10.0,3.0,128.0,0.0,0.01,6.660678514648417e+18,16.0
10.0,3.0,128.0,0.1,0.05,1.901722089624648e+20,16.0
10.0,3.0,128.0,0.1,0.01,1.032818769112502e+19,16.0
10.0,1.0,8.0,0.0,0.05,5.676585985513665e+18,64.0
10.0,1.0,8.0,0.0,0.01,5.539303983510965e+18,64.0
10.0,1.0,8.0,0.1,0.05,5.425383309993794e+18,64.0
10.0,1.0,8.0,0.1,0.01,6.624711275144385e+18,64.0
10.0,1.0,16.0,0.0,0.05,5.536241201393712e+18,64.0
10.0,1.0,16.0,0.0,0.01,6.387073862793241e+18,64.0
